                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9716,                 2.7599,                 1.2519,                 0.2786,                0.48479,                0.24884,                0.16139,                  1.528,                 2.1145,                 1.2121,             0.00033239,             0.00033239,             0.00033239
                      2,                 1.5594,                 1.9359,                 1.1285,                0.40361,                 0.4706,                0.40651,                0.26118,                 1.4615,                 1.8758,                 1.2053,             0.00066309,             0.00066309,             0.00066309
                      3,                 1.4664,                 1.7427,                 1.1032,                0.45552,                0.54099,                 0.4857,                0.32265,                 1.3796,                 1.7845,                 1.1864,             0.00099115,             0.00099115,             0.00099115
