                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.94048,                0.88224,                0.96322,                0.80477,                0.78942,                0.83837,                0.62371,                0.93137,                  1.085,                 1.0422,               0.008878,               0.008878,               0.008878
                     37,                 0.9228,                0.85951,                0.95424,                0.81242,                 0.7839,                0.84637,                0.63744,                0.94355,                 1.0609,                 1.0593,               0.008845,               0.008845,               0.008845
                     38,                0.93012,                0.86335,                0.95977,                0.82175,                0.77464,                0.84951,                0.62986,                0.96457,                 1.0589,                 1.0724,               0.008812,               0.008812,               0.008812
                     39,                0.91373,                0.84322,                0.95201,                0.81486,                0.80084,                0.85629,                0.64403,                0.91827,                 1.0089,                 1.0414,               0.008779,               0.008779,               0.008779
                     40,                0.92597,                0.84201,                0.95702,                0.80173,                0.78993,                0.85129,                0.63018,                0.93473,                 1.0488,                 1.0539,               0.008746,               0.008746,               0.008746
                     41,                0.92016,                0.85349,                0.95469,                0.82366,                0.79029,                0.85075,                0.63645,                0.94347,                  1.064,                  1.055,               0.008713,               0.008713,               0.008713
                     42,                0.90935,                0.82864,                 0.9492,                0.81715,                0.81122,                0.85328,                0.63469,                0.91913,                 1.0268,                 1.0408,                0.00868,                0.00868,                0.00868
                     43,                0.90864,                0.81748,                0.94427,                0.83004,                 0.7922,                0.84976,                 0.6282,                0.94787,                 1.0431,                 1.0549,               0.008647,               0.008647,               0.008647
                     44,                0.90306,                0.81362,                 0.9464,                 0.8093,                0.81068,                0.85686,                0.64142,                0.93688,                 1.0152,                 1.0585,               0.008614,               0.008614,               0.008614
                     45,                 0.9075,                0.82515,                0.94778,                0.80079,                0.80874,                0.85202,                 0.6403,                0.93833,                 1.0003,                 1.0576,               0.008581,               0.008581,               0.008581
                     46,                0.89608,                0.80068,                0.94416,                0.84222,                0.77656,                0.84803,                0.63582,                0.93605,                  1.012,                 1.0509,               0.008548,               0.008548,               0.008548
                     47,                0.89709,                0.81277,                0.94765,                0.84411,                 0.7721,                0.84183,                0.63214,                0.95999,                 1.0756,                 1.0735,               0.008515,               0.008515,               0.008515
                     48,                0.89485,                0.80934,                 0.9438,                 0.8316,                0.78726,                0.85261,                0.64138,                 0.9265,                 1.0093,                 1.0452,               0.008482,               0.008482,               0.008482
                     49,                0.89179,                0.79681,                0.94422,                0.82234,                 0.7964,                0.85453,                0.63892,                0.93076,                 1.0042,                  1.051,               0.008449,               0.008449,               0.008449
                     50,                0.88344,                0.78803,                 0.9365,                0.82544,                0.78805,                0.84952,                0.63762,                0.93009,                 1.0479,                 1.0529,               0.008416,               0.008416,               0.008416
                     51,                0.88452,                0.79757,                0.94276,                0.82301,                0.79921,                0.85545,                0.64273,                0.91782,                 1.0304,                 1.0429,               0.008383,               0.008383,               0.008383
                     52,                0.88311,                0.78303,                0.94155,                0.84145,                0.79388,                0.85735,                0.64761,                0.94238,                 1.0452,                 1.0582,                0.00835,                0.00835,                0.00835
                     53,                0.88184,                0.79074,                0.94089,                0.81985,                0.80743,                0.85111,                0.64298,                0.93266,                 1.0309,                  1.049,               0.008317,               0.008317,               0.008317
                     54,                0.87443,                0.78334,                0.93711,                0.84607,                0.80101,                0.86471,                0.65221,                0.92218,                  1.015,                 1.0453,               0.008284,               0.008284,               0.008284
                     55,                0.88634,                 0.7811,                0.93878,                0.82186,                0.81044,                0.86441,                0.65358,                0.92057,                 1.0034,                 1.0537,               0.008251,               0.008251,               0.008251
                     56,                0.87251,                0.77186,                0.93764,                0.83419,                0.78844,                0.85092,                 0.6444,                0.91951,                 1.0037,                 1.0446,               0.008218,               0.008218,               0.008218
                     57,                0.88268,                0.77443,                0.93729,                0.80849,                0.80977,                0.86098,                0.65014,                0.92165,                 1.0129,                 1.0449,               0.008185,               0.008185,               0.008185
                     58,                0.86526,                0.76268,                0.93126,                0.85333,                0.78286,                0.86064,                0.65424,                0.93317,                 1.0128,                 1.0606,               0.008152,               0.008152,               0.008152
                     59,                0.86699,                0.76282,                0.93495,                0.81225,                0.79775,                 0.8624,                0.65082,                0.91503,                 1.0044,                 1.0422,               0.008119,               0.008119,               0.008119
                     60,                0.85921,                0.76431,                0.93006,                 0.8544,                0.79678,                0.86599,                0.64885,                0.93119,                 1.0185,                 1.0648,               0.008086,               0.008086,               0.008086
                     61,                0.86128,                0.74323,                0.93332,                 0.8399,                0.80009,                0.85849,                0.65343,                 0.9133,                0.99485,                 1.0433,               0.008053,               0.008053,               0.008053
                     62,                 0.8663,                 0.7586,                0.93358,                0.82905,                0.80562,                0.86402,                0.65936,                0.90969,                 1.0069,                 1.0439,                0.00802,                0.00802,                0.00802
                     63,                0.86514,                0.74121,                0.93066,                0.84781,                0.79078,                0.85962,                0.65139,                 0.9338,                0.99851,                 1.0524,               0.007987,               0.007987,               0.007987
                     64,                0.85857,                0.74093,                0.93197,                0.81403,                0.81172,                0.85769,                0.64733,                0.93592,                 1.0004,                 1.0724,               0.007954,               0.007954,               0.007954
                     65,                0.85817,                0.74419,                 0.9275,                0.82139,                0.81377,                0.86295,                0.65203,                0.91541,                0.99555,                 1.0476,               0.007921,               0.007921,               0.007921
                     66,                0.85462,                  0.741,                0.92778,                0.84751,                0.78046,                 0.8578,                0.64952,                 0.9189,                 1.0088,                 1.0474,               0.007888,               0.007888,               0.007888
                     67,                0.85457,                 0.7256,                0.92752,                0.84723,                0.78871,                 0.8624,                0.65506,                 0.9157,                 1.0134,                 1.0465,               0.007855,               0.007855,               0.007855
                     68,                0.84982,                0.73693,                0.93045,                0.85282,                0.80234,                0.86258,                0.65391,                0.91083,                 1.0071,                 1.0545,               0.007822,               0.007822,               0.007822
                     69,                0.84821,                0.73127,                0.92837,                0.83693,                 0.8068,                0.86659,                0.65595,                0.92436,                0.98918,                 1.0592,               0.007789,               0.007789,               0.007789
                     70,                 0.8504,                0.73593,                0.92922,                0.82991,                0.81195,                0.86628,                0.66233,                0.90393,                0.96877,                 1.0419,               0.007756,               0.007756,               0.007756
                     71,                0.84927,                0.73152,                0.92896,                0.82255,                0.81325,                0.86341,                0.66218,                0.90008,                0.99154,                 1.0366,               0.007723,               0.007723,               0.007723
                     72,                0.84118,                0.71676,                0.92646,                0.83068,                0.80945,                0.86332,                0.65525,                0.91809,                0.98971,                 1.0549,                0.00769,                0.00769,                0.00769
                     73,                0.83912,                0.71119,                0.92114,                0.83929,                0.81143,                0.86243,                0.66037,                0.91652,                0.99633,                 1.0504,               0.007657,               0.007657,               0.007657
                     74,                0.84183,                0.72163,                0.92677,                0.84799,                0.81157,                0.87052,                0.65686,                0.91869,                0.97592,                 1.0456,               0.007624,               0.007624,               0.007624
                     75,                 0.8387,                0.71412,                 0.9249,                0.84764,                0.79632,                0.85963,                  0.656,                 0.9073,                 1.0312,                 1.0415,               0.007591,               0.007591,               0.007591
                     76,                0.83974,                 0.7289,                0.92835,                 0.8542,                0.80348,                0.86866,                0.66264,                0.88883,                0.96086,                 1.0245,               0.007558,               0.007558,               0.007558
                     77,                0.84398,                0.71042,                0.92606,                 0.8358,                 0.8226,                0.86741,                0.66483,                0.91365,                0.99619,                 1.0381,               0.007525,               0.007525,               0.007525
                     78,                0.83664,                0.71124,                 0.9207,                0.84216,                0.80528,                0.86222,                0.65622,                0.90442,                0.96677,                  1.048,               0.007492,               0.007492,               0.007492
                     79,                0.83313,                0.70204,                0.92291,                0.85829,                0.79781,                 0.8649,                0.66367,                0.90796,                0.97054,                 1.0487,               0.007459,               0.007459,               0.007459
                     80,                0.83175,                0.70534,                0.92072,                0.85283,                0.80052,                0.86635,                0.66516,                0.90126,                0.97221,                 1.0346,               0.007426,               0.007426,               0.007426
                     81,                0.83559,                0.69238,                0.92278,                0.83935,                0.81961,                0.86992,                0.66738,                0.89527,                0.95951,                  1.038,               0.007393,               0.007393,               0.007393
                     82,                0.82219,                0.69401,                0.92072,                0.84136,                0.80157,                0.86742,                0.66324,                0.89829,                0.95454,                 1.0378,                0.00736,                0.00736,                0.00736
                     83,                0.83359,                0.69514,                 0.9192,                0.82928,                0.82814,                0.87238,                0.66406,                 0.9059,                0.97546,                 1.0432,               0.007327,               0.007327,               0.007327
                     84,                0.83203,                0.69485,                0.91965,                0.86528,                 0.8076,                0.87335,                0.67058,                0.88358,                0.96823,                 1.0346,               0.007294,               0.007294,               0.007294
                     85,                0.82847,                 0.6998,                0.91924,                0.85983,                0.79872,                0.86946,                0.66739,                0.89519,                0.96463,                 1.0366,               0.007261,               0.007261,               0.007261
                     86,                0.82549,                  0.687,                0.91562,                0.86099,                0.81654,                0.87515,                  0.674,                 0.9008,                0.96297,                 1.0434,               0.007228,               0.007228,               0.007228
                     87,                0.82269,                0.68652,                0.91828,                0.85146,                0.81804,                0.87315,                0.67042,                0.91157,                0.98047,                 1.0486,               0.007195,               0.007195,               0.007195
                     88,                 0.8191,                0.68917,                0.91695,                0.86611,                0.81512,                0.87252,                0.67064,                0.90038,                0.95191,                 1.0412,               0.007162,               0.007162,               0.007162
                     89,                0.82302,                0.68791,                0.91519,                0.84685,                0.81055,                0.87289,                0.66754,                0.90328,                 0.9699,                 1.0436,               0.007129,               0.007129,               0.007129
                     90,                0.81702,                0.67494,                0.91844,                0.85622,                 0.8072,                0.87193,                0.67404,                0.90443,                0.96158,                 1.0446,               0.007096,               0.007096,               0.007096
                     91,                0.81698,                0.68401,                0.91703,                 0.8464,                  0.828,                0.87824,                0.67404,                0.89565,                 0.9361,                 1.0428,               0.007063,               0.007063,               0.007063
                     92,                0.81515,                0.67306,                0.91189,                0.82513,                0.84469,                0.87436,                0.66958,                  0.898,                0.94834,                 1.0398,                0.00703,                0.00703,                0.00703
